rel	pages	chars	avg_per_page	sample
2010\AlgebraNumberTheory-individual.pdf	2	2225	1112.5	S.-T. Yau College Student Mathematics Contests 2010 Algebra, Number Theory and Combinatori
2010\AlgebraNumberTheory-team.pdf	1	1291	1291.0	S.-T. Yau College Student Mathematics Contests 2010 Algebra, Number Theory and Combinatori
2010\Analysis and differential  equations team.pdf	2	1365	682.5	S.-T. Yau College Student Mathematics Contests 2010 Analysis and Diﬀerential Equations Tea
2010\Analysis and differential equations individual.pdf	2	1525	762.5	S.-T. Yau College Student Mathematics Contests 2010 Analysis and Diﬀerential Equations Ind
2010\Applied, Computational, Probability and Statistics-team.pdf	3	4505	1501.7	S.-T. Yau College Student Mathematics Contests 2010 Applied Math., Computational Math., Pr
2010\Applied,Computational,Probability and Statistics-individual.pdf	2	2380	1190.0	S.-T. Yau College Student Mathematics Contests 2010 Applied Math., Computational Math., Pr
2010\GeometryTopology-indi.pdf	1	1278	1278.0	S.-T. Yau College Student Mathematics Contests 2010 Geometry and Topology Individual (Plea
2010\GeometryTopology-team.pdf	1	1560	1560.0	S.-T. Yau College Student Mathematics Contests 2010 Geometry and Topology Team (Please sel
2011\1.AnalysisDiffEquation-Individual-2011.pdf	1	1517	1517.0	S.-T. Yau College Student Mathematics Contests 2011 Analysis and Diﬀerential Equations Ind
2011\2.AppliedMathProb-Individual-2011.pdf	3	4231	1410.3	S.-T. Yau College Student Mathematics Contests 2011 Applied Math., Computational Math., Pr
2011\3.GeomTop-Individual-2011.pdf	1	1846	1846.0	S.-T. Yau College Student Mathematics Contests 2011 Geometry and Topology Individual 9:30–
2011\4.Algebra-Individual-2011.pdf	2	1997	998.5	S.-T. Yau College Student Mathematics Contests 2011 Algebra, Number Theory and Combinatori
2011\5.AnalysisDiffEquation-Team-2011.pdf	1	1523	1523.0	S.-T. Yau College Student Mathematics Contests 2011 Analysis and Diﬀerential Equations Tea
2011\6.AppliedMathProb-Team-2011.pdf	2	3298	1649.0	S.-T. Yau College Student Mathematics Contests 2011 Applied Math., Computational Math., Pr
2011\7.GeomTop-Team-2011.pdf	2	1665	832.5	S.-T. Yau College Student Mathematics Contests 2011 Geometry and Topology Team 9:00–12:00 
2011\8.Algebra-Team-2011.pdf	1	1523	1523.0	S.-T. Yau College Student Mathematics Contests 2011 Algebra, Number Theory and Combinatori
2012\Algebra2012Individual.pdf	2	2288	1144.0	INDIVIDUAL TEST Algebra and Number Theory 1. Prove that the polynomial x6 + 30x5 −15x3 + 6
2012\Algebra2012team.pdf	2	2543	1271.5	GROUP TEST Algebra and Number Theory 1. Let a1, · · · , an and b1, · · · , bn be complex n
2012\Analysis-individual.pdf	1	1032	1032.0	INDIVIDUAL TEST S.-T YAU COLLEGE MATH CONTESTS 2012 Analysis and Diﬀerential Equations Ple
2012\Analysis-team.pdf	1	1626	1626.0	GROUP TEST S.-T YAU COLLEGE MATH CONTESTS 2012 Analysis and Diﬀerential Equations Please s
2012\Applied2012individual.pdf	3	3534	1178.0	INDIVIDUAL TEST S.-T YAU COLLEGE MATH CONTESTS 2012 Applied Math. and Computational Math. 
2012\Applied2012team.pdf	3	3947	1315.7	GROUP TEST S.-T YAU COLLEGE MATH CONTESTS 2012 Applied Math. and Computational Math. Pleas
2012\Geometry2012individual.pdf	1	1571	1571.0	INDIVIDUAL TEST S.-T YAU COLLEGE MATH CONTESTS 2012 Geometry and Topology Please solve 5 o
2012\Geometry2012team.pdf	1	1139	1139.0	GROUP TEST S.-T YAU COLLEGE MATH CONTESTS 2012 Geometry and Topology Please solve 5 out of
2012\Probability2012(individual).pdf	2	3592	1796.0	INDIVIDUAL TEST S.-T YAU COLLEGE MATH CONTESTS 2012 Probability and Statistics Please solv
2012\Probability2012(team).pdf	2	2050	1025.0	GROUP TEST S.-T YAU COLLEGE MATH CONTESTS 2012 Probability and Statistics Please solve 5 o
2013\TeamProblems2013.pdf	12	13405	1117.1	S.-T. Yau College Student Mathematics Contests 2013 Analysis and Diﬀerential Equations Tea
2013\algebra2013(individual).pdf	2	2565	1282.5	S.-T. Yau College Student Mathematics Contests 2013 Algebra and Number Theory Individual T
2013\analysis2013(individual).pdf	2	1387	693.5	S.-T. Yau College Student Mathematics Contests 2013 Analysis and Diﬀerential Equations Ind
2013\applied2013(individual).pdf	3	4280	1426.7	S.-T. Yau College Student Mathematics Contests 2013 Applied Math. and Computational Math. 
2013\geometry2013(individual).pdf	1	1711	1711.0	S.-T. Yau College Student Mathematics Contests 2013 Geometry and Topology Individual Pleas
2013\probability2013(individual).pdf	2	2740	1370.0	S.-T. Yau College Student Mathematics Contests 2013 Probability and Statistics Problems In
2014\algebra2014(individual).pdf	2	2643	1321.5	S.-T. Yau College Student Mathematics Contests 2014 Algebra and Number Theory Individual T
2014\algebra2014(team).pdf	2	2735	1367.5	S.-T. Yau College Student Mathematics Contests 2014 Algebra and Number Theory Team Solve 5
2014\analysis2014(individual).pdf	2	1749	874.5	S.-T. Yau College Student Mathematics Contests 2014 Analysis and Diﬀerential Equations Ind
2014\analysis2014(team).pdf	1	1229	1229.0	S.-T. Yau College Student Mathematics Contests 2014 Analysis and Diﬀerential Equations Tea
2014\applied2014(individual).pdf	3	3474	1158.0	S.-T. Yau College Student Mathematics Contests 2014 Applied Math. and Computational Math. 
